CODIGO,NOME,CARGA HORÁRIA TOTAL,REQ,EQV
DCC199,ALGORITMOS,90,,--
DC5199,ALGORITMOS - PRÁTICA,0,,--
FIS122,LABORATÓRIO DE INTRODUÇÃO ÀS CIÊNCIAS FÍSICAS,30,ICE002,--
ICE001,INTRODUÇÃO A CIÊNCIAS EXATAS,30,,--
MAT154,CÁLCULO I,60,MAT154E,--
MAT155,GEOMETRIA ANALÍTICA E SISTEMAS LINEARES,60,MAT155E,--
QUI125,QUÍMICA FUNDAMENTAL,60,QUI125E,--
QUI126,LABORATÓRIO DE QUÍMICA,30,,--
DCC200,ALGORITMOS II,90,,DCC199
DC5200,ALGORITMOS II - PRÁTICA,0,,--
EST028,INTRODUÇÃO À ESTATÍSTICA,60,,MAT154
EXT099,INTRODUÇÃO À EXTENÇÃO,60,,--
FIS073,FÍSICA I,60,FIS073E,MAT154
FIS077,LABORATÓRIO DE FÍSICA I,30,,FIS122
MAT156,CÁLCULO II,60,MAT156E,MAT154 MAT155
QUI168,LABORATÓRIO DE TRANSFORMAÇÕES QUÍMICAS,30,QUI162,QUI126
DCC013,ESTRUTURA DE DADOS,60,,DCC200
DCC025,ORIENTAÇÃO A OBJETOS,60,,DCC200
DCC122,CIRCUITOS DIGITAIS,60,CEL032,--
DCC160,LÓGICA E FUNDAMENTOS PARA A COMPUTAÇÃO,60,MAT067,--
DCC202,DESENVOLVIMENTO WEB,30,,--
MAT143,INTRODUÇÃO A TEORIA DOS NÚMEROS,60,,--
MAT157,CÁLCULO III,60,MAT157E,MAT156
DCC008,CALCULO NUMÉRICO,60,,DCC199 MAT156
DCC012,ESTRUTURA DE DADOS II,60,,DCC013
DCC070,ORGANIZAÇÃO DE COMPUTADORES,60,,DCC122
DCC117,MODELAGEM DE SISTEMAS,60,,DCC025
MAT029,EQUAÇÕES DIFERENCIAIS I,60,MAT029E,MAT156
MAT158,ÁLGEBRA LINEAR,60,MAT158E,
DCC059,TEORIA DOS GRAFOS,60,,DCC013
DCC060,BANCO DE DADOS,60,,DCC012 DCC117
DCC061,ENGENHARIA DE SOFTWARE,60,,DCC117
DCC062,SISTEMAS OPERACIONAIS,60,,DCC070
DCC065,COMPUTAÇÃO GRÁFICA,60,,DCC199 MAT158
DCC203,METODOLOGIA CIENTÍFICA,30,,DCC200
DCC019,LINGUAGEM DE PROGRAMAÇÃO,60,,DCC012 DCC025
DCC042,REDES DE COMPUTADORES,60,,DCC070
DCC063,LINGUAGENS FORMAIS E AUTÔMATOS,60,,DCC013 MAT143
DCC163,PESQUISA OPERACIONAL,60,DCC024,MAT158
DCC174,INTERAÇÃO HUMANO-COMPUTADOR,60,DCC081,DCC061
EADDCC044,INFORMÁTICA E SOCIEDADE,30,DCC118,--
DCC001,ANÁLISE E PROJETO DE ALGORITMOS,60,,DCC013 MAT143
DCC014,INTELIGÊNCIA ARTIFICIAL,60,,DCC059 DCC160 EST028
DCC055,TEORIA DA COMPUTAÇÃO,60,,DCC063
DCC075,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,60,,DCC042
DCC204,TRABALHO DE CONCLUSÃO DE CURSO I,30,,DCC203 + 1560 HORAS
EST029,CÁLCULO DE PROBABILIDADE I,60,,MAT156
DCC045,TEORIA DOS COMPILADORES,60,,DCC063
DCC064,SISTEMAS DISTRIBUÍDOS,60,,DCC062
DCC205,TRABALHO DE CONCLUSÃO DE CURSO II,60,,DCC204
ELE60,60 HORAS EM DISCIPLINA(S) ELETIVA(S),60,,VARIÁVEL
ELE60,60 HORAS EM DISCIPLINA(S) ELETIVA(S),60,,VARIÁVEL
