CODIGO,NOME,CH,REQ,EQV
DCC066,PROCESSAMENTO DE IMAGENS,60,,DCC199  MAT158 
DCC129,REALIDADE VIRTUAL E AUMENTADA,60,,DCC199  MAT158
DCC148,DESENVOLVIMENTO DE JOGOS,60,,DCC025 MAT155
DCC191,VISUALIZAÇÃO CIENTÍFICA,60,,DCC199 MAT156
DCC197,VISÃO COMPUTACIONAL,60,,DCC013
DCC077,ASPECTOS AVANÇADOS EM BANCO DE DADOS,60,,DCC060
DCC078,ASPECTOS AVANÇADOS EM ENGENHARIA DE SOFTWARE,60,,DCC061
DCC080,LABORATÓRIO INTEGRADO DE DESENVOLVIMENTO DE SOFTWARE,30,,DCC060 DCC061
DCC083,QUALIDADE DE SOFTWARE,30,,DCC061
DCC093,TÓPICOS EM DESENVOLVIMENTO DE SOFTWARE I,60,,VARIÁVEL
DCC094,TÓPICOS EM DESENVOLVIMENTO DE SOFTWARE II,60,,VARIÁVEL
DCC127,MINERAÇÃO DE DADOS,60,,DCC013 DCC107
DCC132,ENGENHARIA DE SOFTWARE EXPERIMENTAL,60,,DCC061
DCC138,TÓPICOS DE LINGUAGEM PROGRAMAÇÃO I,60,,VARIÁVEL
DCC139,TÓPICOS DE LINGUAGEM PROGRAMAÇÃO II,60,,VARIÁVEL
DCC143,ADMINISTRAÇÃO DE DADOS,60,,DCC060
DCC147,DATA WAREHOUSE,60,,DCC060
DCC149,ENGENHARIA DE REQUISITOS,60,,DCC117
DCC153,GERÊNCIA DE CONFIGURAÇÃO DE SOFTWARE,60,,DCC061
DCC164,RECUPERAÇÃO DA INFORMAÇÃO,60,,DCC060
DCC168,TESTE DE SOFTWARE,60,,DCC061
DCC176,SISTEMAS COLABORATIVOS,60,DCC169,DCC117
DCC206,DESENVOLVIMENTO WEB II,30,,DCC202
DCC207,DESENVOLVIMENTO WEB FRONT-END,60,,DCC206
DCC208,DESENVOLVIMENTO WEB BACK-END,60,,DCC117 DCC206
DCC209,DESENVOLVIMENTO PARA DISPOSITIVOS MÓVEIS,60,,DCC207
DCC088,GESTÃO DA TECNOLOGIA E INOVAÇÃO TECNOLÓGICA,60,,DCC210
DCC133,INTRODUÇÃO À SISTEMAS DE INFORMAÇÃO,60,,--
DCC145,ASPECTOS ORGANIZACIONAIS DE SISTEMAS DE INFORMAÇÃO,60,,DCC133
DCC154,GERÊNCIA DE PROJETOS,60,,DCC061
DCC155,GESTÃO DO CONHECIMENTO,60,,CAD076 DCC117
DCC161,MODELAGEM DE NEGÓCIO,60,,DCC117
DCC165,SEGURANÇA E AUDITORIA DE SISTEMAS,60,,DCC133
DCC210,EMPREENDEDORISMO TECNOLÓGICO,60,,CAD014 DCC117
DCC086,INFORMÁTICA NA EDUCAÇÃO,60,,--
DCC095,"TÓPICOS EM CIÊNCIA, TECNOLOGIA E SOCIEDADE I",60,,VARIÁVEL
